epoch	loss	acc	val_loss	val_acc
246	0.509273	0.818120	1.702869	0.543400
247	0.507789	0.817180	1.691907	0.536600
248	0.509712	0.816920	1.697822	0.541500
249	0.504704	0.820660	1.692296	0.544600
250	0.505124	0.818160	1.707146	0.537200
251	0.500158	0.818940	1.687661	0.539900
252	0.493378	0.822960	1.744543	0.542500
253	0.487612	0.824500	1.690506	0.544000
254	0.499779	0.820820	1.723431	0.542800
255	0.491002	0.824100	1.679206	0.541800
256	0.498026	0.821160	1.718866	0.544300
257	0.486335	0.825840	1.725367	0.547900
258	0.483178	0.827920	1.716933	0.540900
259	0.483584	0.827020	1.698554	0.540300
260	0.478772	0.828240	1.709612	0.544600
261	0.483013	0.823960	1.755902	0.537500
262	0.489171	0.823720	1.727223	0.543500
263	0.478277	0.827860	1.754494	0.538500
264	0.481462	0.827060	1.740351	0.544000
265	0.486784	0.826120	1.726476	0.547900
266	0.482027	0.827300	1.738257	0.544100
267	0.475974	0.829620	1.727231	0.546900
268	0.475449	0.830220	1.756181	0.540400
269	0.473155	0.831240	1.733421	0.545200
270	0.468670	0.831060	1.752980	0.541100
271	0.476363	0.829680	1.733186	0.544400
272	0.476581	0.827780	1.754676	0.545200
273	0.484717	0.828100	1.742327	0.551100
274	0.460480	0.835200	1.743497	0.539900
275	0.462252	0.833740	1.736664	0.537800
276	0.469489	0.831180	1.731459	0.545500
277	0.475228	0.830420	1.743720	0.542500
278	0.473843	0.830100	1.735406	0.541000
279	0.462732	0.834420	1.761082	0.536800
280	0.463641	0.835720	1.759689	0.544800
281	0.458444	0.834260	1.791789	0.536700
282	0.463408	0.834480	1.731602	0.541400
283	0.453391	0.837760	1.760500	0.543700
284	0.457456	0.836400	1.778701	0.539200
285	0.451615	0.838180	1.778835	0.544800
286	0.459857	0.835080	1.758128	0.546800
287	0.453034	0.836980	1.753786	0.543900
288	0.443315	0.839880	1.795777	0.542700
289	0.458032	0.835700	1.766630	0.545800
290	0.449885	0.837780	1.717492	0.546100
291	0.458104	0.834780	1.767632	0.540800
292	0.459212	0.834540	1.754285	0.542200
293	0.451154	0.840520	1.817383	0.545000
294	0.450482	0.840360	1.718794	0.543200
295	0.451964	0.836180	1.797741	0.543700
296	0.447135	0.840980	1.802474	0.548100
297	0.431256	0.845380	1.820278	0.544300
298	0.446595	0.837660	1.774055	0.547500
299	0.444463	0.842060	1.839087	0.547400
